source_id,source,summary
15-1,"veteran actor robert hardy is selling his enormous collection of antiques in a £ 100,000 auction after deciding to downsize his home . 
the star , known for appearing in all creatures great and small and playing winston churchill several times , is auctioning off more than 200 items he has collected over his career . 
mr hardy , 89 , is a keen military historian who studied english with j.r.r. tolkien and is now an expert on the medieval longbow . 
sale : actor robert hardy is selling off his collection of antiques including a diorama of the battle of agincourt
cabinets : a pair of early victorian items of furniture made by gillows of lancaster which are set to fetch up to £ 4,000 at the auction on saturday
portrait : a painting of mr hardy holding a longbow , reflecting his interest in medieval history
one of the most unusual items featured in the auction of his possessions is a hand-painted limewood diorama depicted the progress of the battle of agincourt in 3d . 
the piece was created by artist l.m. rendall in the 1960s after being commissioned by mr hardy himself , and has an estimate of £ 4,000 to £ 6,000 . 
there is also a longbow made from yew with a mother-of-pearl handle , as well as a portrait of mr hardy holding the bow , which is set to sell for up to £ 2,000 . 
the actor is also selling paintings , furniture , swords , flintlock rifles , silverware and a fine collection of crystal chandeliers . 
diorama : the 3d model was commissioned specially by mr hardy from artist l.m. rendall in the 1960s
close-up : the piece was rendered in amazing detail showing the progress of the battle in 1415
luxurious : a view of many of the items of furniture and other antiques which are being sold
dozens of books , some dating back to the 17th century , are included in the auction which is set to take place this saturday . 
a total of 238 lots are being sold by dominic winter auctioneers at its saleroom in south cerney , gloucestershire . 
mr hardy , who lives in the cotswolds , said that he was sad to sell his collection . 
` downsizing and losing a great part of a treasured library makes for sadness , ' he said . 
` entrusting it all to dominic winter and co has taken away much of the pain , and through them i wish anyone who comes to possess anything that was mine as much joy and pleasure as it has given me through the years . ' 
historical : an early 20th-century painting of alfred the great rebuilding london , by frank owen salisbury
auction : the objects are being sold at dominic winter in gloucestershire on saturday
pride : mr hardy pictured in 2012 with the longbow and other objects from his collection
he has built up the haul of antiques thanks to his interest in classic literature and military history . 
mr hardy was taught by tolkien and c.s. lewis when he studied english at magdalen college , oxford , and he has published two books on the history of the longbow . 
he was also consulted as an expert during the raising of the tudor shipwreck the mary rose . 
mr hardy , a close friend of richard burton , worked with top actors including laurence olivier , john gielgud and judi dench during his early days as a shakespearean specialist . 
he found national fame playing vet siegfried farnon in all creatures great and small , the hit bbc drama which aired between 1978 and 1994 and also starred lynda bellingham . 
star : mr hardy , left , is known for his role as vet siegriein the bbc 's all creatures great and small
role : he has frequently played winston churchill in a series of television dramas
new generation : mr hardy appeared as minister for magic cornelius fudge in the harry potter films
the actor is well known for portraying winston churchill in a number of television performances , and has also played churchill 's fellow second world war leader franklin d. roosevelt . 
more recently , he introduced himself to a younger generation of viewers with an appearance in the harry potter films , where he played cornelius fudge , the minister for magic . 
mr hardy was forced to retire from stage acting two years ago , when he suffered a fall while playing churchill again in the audience , a west end play about the queen which starred helen mirren . 
however , he has insisted that he will continue to do television work despite his advanced age .","Veteran actor Robert Hardy, aged 89 and known for roles in All Creatures Great and Small and as Winston Churchill, is auctioning over 200 cherished antiques to downsize his home. The auction, with an estimated total value of around £100,000 and taking place at Dominic Winter Auctioneers in Gloucestershire, features items such as a unique hand-painted limewood diorama of the Battle of Agincourt, a yew longbow with a mother-of-pearl handle, a portrait of Hardy with the longbow, early Victorian furniture, as well as paintings, swords, rifles, silverware, crystal chandeliers, and rare books dating back to the 17th century. A keen military historian and former student of J.R.R. Tolkien, Hardy expressed sadness at selling his treasured collection while hoping new owners will appreciate the pieces as much as he has over the years."
15-2,"veteran actor robert hardy is selling his enormous collection of antiques in a £ 100,000 auction after deciding to downsize his home . 
the star , known for appearing in all creatures great and small and playing winston churchill several times , is auctioning off more than 200 items he has collected over his career . 
mr hardy , 89 , is a keen military historian who studied english with j.r.r. tolkien and is now an expert on the medieval longbow . 
sale : actor robert hardy is selling off his collection of antiques including a diorama of the battle of agincourt
cabinets : a pair of early victorian items of furniture made by gillows of lancaster which are set to fetch up to £ 4,000 at the auction on saturday
portrait : a painting of mr hardy holding a longbow , reflecting his interest in medieval history
one of the most unusual items featured in the auction of his possessions is a hand-painted limewood diorama depicted the progress of the battle of agincourt in 3d . 
the piece was created by artist l.m. rendall in the 1960s after being commissioned by mr hardy himself , and has an estimate of £ 4,000 to £ 6,000 . 
there is also a longbow made from yew with a mother-of-pearl handle , as well as a portrait of mr hardy holding the bow , which is set to sell for up to £ 2,000 . 
the actor is also selling paintings , furniture , swords , flintlock rifles , silverware and a fine collection of crystal chandeliers . 
diorama : the 3d model was commissioned specially by mr hardy from artist l.m. rendall in the 1960s
close-up : the piece was rendered in amazing detail showing the progress of the battle in 1415
luxurious : a view of many of the items of furniture and other antiques which are being sold
dozens of books , some dating back to the 17th century , are included in the auction which is set to take place this saturday . 
a total of 238 lots are being sold by dominic winter auctioneers at its saleroom in south cerney , gloucestershire . 
mr hardy , who lives in the cotswolds , said that he was sad to sell his collection . 
` downsizing and losing a great part of a treasured library makes for sadness , ' he said . 
` entrusting it all to dominic winter and co has taken away much of the pain , and through them i wish anyone who comes to possess anything that was mine as much joy and pleasure as it has given me through the years . ' 
historical : an early 20th-century painting of alfred the great rebuilding london , by frank owen salisbury
auction : the objects are being sold at dominic winter in gloucestershire on saturday
pride : mr hardy pictured in 2012 with the longbow and other objects from his collection
he has built up the haul of antiques thanks to his interest in classic literature and military history . 
mr hardy was taught by tolkien and c.s. lewis when he studied english at magdalen college , oxford , and he has published two books on the history of the longbow . 
he was also consulted as an expert during the raising of the tudor shipwreck the mary rose . 
mr hardy , a close friend of richard burton , worked with top actors including laurence olivier , john gielgud and judi dench during his early days as a shakespearean specialist . 
he found national fame playing vet siegfried farnon in all creatures great and small , the hit bbc drama which aired between 1978 and 1996 and also starred lynda bellingham . 
star : mr hardy , left , is known for his role as vet siegriein the bbc 's all creatures great and small
role : he has frequently played winston churchill in a series of television dramas
new generation : mr hardy appeared as minister for magic cornelius fudge in the harry potter films
the actor is well known for portraying winston churchill in a number of television performances , and has also played churchill 's fellow second world war leader franklin d. roosevelt . 
more recently , he introduced himself to a younger generation of viewers with an appearance in the harry potter films , where he played cornelius fudge , the minister for magic . 
mr hardy was forced to retire from stage acting two years ago , when he suffered a fall while playing churchill again in the audience , a west end play about the queen which starred helen mirren . 
however , he has insisted that he will continue to do television work despite his advanced age .","Veteran actor Robert Hardy, 89, is auctioning over 200 antiques—worth around £100,000—as he downsizes his Cotswolds home. His collection, reflecting a lifelong passion for military history and classic literature (he studied English with J.R.R. Tolkien and C.S. Lewis), features notable pieces such as a hand-painted 3D diorama of the Battle of Agincourt, early Victorian furniture, a yew longbow with a mother-of-pearl handle, a portrait of him holding the bow, various paintings, swords, flintlock rifles, silverware, crystal chandeliers, and dozens of books dating as far back as the 17th century. Known for roles in ""All Creatures Great and Small"" and as Winston Churchill—as well as an appearance in the Harry Potter films—Hardy expressed sadness in parting with his treasured library while trusting Dominic Winter Auctioneers to handle the sale in Gloucestershire on Saturday."
15-3,"( cnn ) whether quaffing artisanal cocktails at hipster bars or knocking back no-name beers on the couch , more americans are drinking heavily -- and engaging in episodes of binge-drinking , concludes a major study of alcohol use . 
heavy drinking among americans rose 17.2 percent between 2005 and 2012 , largely due to rising rates among women , according to the study by the institute for health metrics and evaluation at the university of washington , published thursday in the american journal of public health . 
the centers for disease control and prevention defines heavy drinking as exceeding an average of one drink per day during the past month for women and two drinks per day for men . 
binge drinking is defined as four or more drinks for women and five or more drinks for men on a single occasion at least once during the past month . 
the increases are driven largely by women 's drinking habits as social norms change , researchers found . 
in santa clara county , calif. , for example , women 's binge drinking rates rose by nearly 36 percent between 2002 and 2012 , compared with 23 percent among men . 
nationwide over the course of the decade , the rate of binge drinking among women increased more than seven times the rate among men . 
opinion : why are more women drinking ? 
"" it seems like women are trying to catch up to the men in binge drinking , "" said ali mokdad , a lead author of the study . 
"" it 's really , really scary . "" 
the study is the first to track adult drinking patterns at the county level . 
in 2012 , 8 percent of americans were considered heavy drinkers and 18 percent were binge drinkers . 
despite the increases in heavy drinking , the percentage of people who drink any alcohol has remained relatively unchanged over time , researchers found . 
madison county , idaho , reported the lowest rate of binge drinking in 2012 , at 6 percent , while menominee , wis. , had the highest rate , at 36 percent . 
hancock county , tenn. , had the fewest heavy drinkers ( 2 percent of residents ) and esmeralda county , nev. , recorded the most ( 22 percent ) . 
related : 1 in 5 high school girls binge drink
about 88,600 u.s. deaths were attributed to alcohol in 2010 , the researchers note , and the cost of excessive drinking has been estimated at more than $ 220 billion per year . 
the increase in binge drinking does n't surprise terri fukagawa , clinical director of the new life recovery centers in san jose , calif. , where 15 of her 24 treatment beds are filled with clients primarily addicted to alcohol . 
she said she 's seen more people seeking treatment for alcoholism in the past four years . 
still , she noted , "" there are a lot of people still out there needing treatment , but they wo n't come in unless they have a consequence like losing a job or [ getting ] a dui . 
they think they have control over it . "" 
public health experts offer a number of cultural and economic explanations for the increase in excessive drinking . 
as a result of changed social norms , it 's now more acceptable for women to drink the way men traditionally have , said tom greenfield , scientific director at the alcohol research group at the oakland , calif.-based public health institute . 
young people are more likely to binge drink , and affluent people have the money to drink more . 
so the influx of wealthy professionals in cities like san francisco , san jose and oakland -- many in hard-working , hard-partying tech jobs -- may have helped spur significant spikes in drinking rates in the bay area and similar communities , experts said . 
taxes on alcohol have not risen along with the consumer price index , so wine , beer and liquor have gotten cheaper over time in real dollars , he said . 
alcohol advertising , particularly for hard liquor , has increased in recent years . 
a federal trade commission study found that companies spent about $ 3.45 billion to advertise alcoholic beverages in 2011 . 
alcohol control policies , such as limits on when and where alcohol can be sold and how long bars can stay open , have weakened in past decades , greenfield said . 
that may partly explain rising consumption nationwide , particularly in some states where "" blue laws "" once prohibited alcohol sales on sundays or in supermarkets . 
to conduct the study , researchers analyzed data on about 3.7 million americans aged 21 and older from the behavioral risk factor surveillance system , an ongoing telephone survey of health behaviors conducted by the u.s. centers for disease control . 
kaiser health news ( khn ) is a nonprofit national health policy news service .","A study by the Institute for Health Metrics and Evaluation found that heavy drinking among Americans increased 17.2% between 2005 and 2012, with binge drinking—defined by the CDC as 4+ drinks for women and 5+ for men on a single occasion—rising most sharply among women. Although the overall percentage of alcohol consumers remained stable, county-level data revealed significant variations, with some areas showing much higher rates of heavy and binge drinking. Researchers attribute the trend to changing social norms, economic factors (such as increased disposable income and cheaper alcohol due to stagnant taxes), expanded alcohol advertising, and weakened control policies. The study analyzed responses from about 3.7 million adults and also noted substantial public health costs, including 88,600 alcohol-attributed deaths in 2010 and costs over $220 billion per year."
4-0,"The Giants got a short-handed opener through player-coach Derrick Walser but Jeff Dimmen pulled the Panthers level. In the second period Mike Forney's powerplay breakaway goal make it 2-1 with Andy Bohmback equalising. Mike Radja scored from an acute angle and James Desmarais made it 4-2 before Nottingham's David Ling got one back. The teams meet again on Saturday night in the second match of their double-header. Nottingham lead the league on 28 points, with Sheffield Steelers on 27 and Belfast 25.","Belfast’s Giants opened the game with a short‐handed goal by player‑coach Derrick Walser, but Nottingham’s Panthers soon equalized with a goal from Jeff Dimmen. In the second period, Mike Forney scored a powerplay breakaway goal to give the Giants a 2–1 lead before Andy Bohmback leveled the score. The Giants then extended their lead when Mike Radja and James Desmarais scored, making it 4–2, although Nottingham’s David Ling reduced the deficit to 4–3. The two sides will play again on Saturday night as the second match of their double‑header. Meanwhile, Nottingham lead the league on 28 points, followed by Sheffield Steelers on 27 and Belfast on 25."
4-1,"Anne Rice . Born in New Orleans , Rice spent much of her early life there before moving to Texas , and later to San Francisco . Route 495 is a 3.45 mi freeway in Hudson County , New Jersey , in the United States that connects the New Jersey Turnpike ( Interstate 95 , I-95 ) at exits 16E and 17 in Secaucus to New York State Route 495 ( NY 495 ) inside the Lincoln Tunnel in Weehawken , providing access to Midtown Manhattan .","The passage briefly describes two unrelated subjects. It notes that Anne Rice was born in New Orleans, where she spent her early years before moving on to Texas and later San Francisco. It also details Route 495, a 3.45-mile freeway in Hudson County, New Jersey, which connects Interstate 95 (via the New Jersey Turnpike in Secaucus) to New York State Route 495 through the Lincoln Tunnel, providing a route to Midtown Manhattan."
4-2,"Home for the Holidays is a 1972 American made-for-television horror film directed by John Llewellyn Moxey , produced by Aaron Spelling and starring Sally Field , Eleanor Parker , Julie Harris , Jessica Walter and Walter Brennan which premiered on ABC on November 28 , 1972 . Home for the Holidays (1995 film) . The film stars Holly Hunter , Robert Downey Jr. , Anne Bancroft , Charles Durning , Dylan McDermott , Geraldine Chaplin , Steve Guttenberg , Cynthia Stevenson , Claire Danes , Austin Pendleton and David Strathairn .","The passage discusses two films titled ""Home for the Holidays."" The first is a 1972 American made-for-television horror film directed by John Llewellyn Moxey, produced by Aaron Spelling, and starring Sally Field, Eleanor Parker, Julie Harris, Jessica Walter, and Walter Brennan; it premiered on ABC on November 28, 1972. The second is a 1995 film featuring an ensemble cast that includes Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Dylan McDermott, Geraldine Chaplin, Steve Guttenberg, Cynthia Stevenson, Claire Danes, Austin Pendleton, and David Strathairn."
4-3,"The Dons loaned Smith, 21, to United in July and he has five goals this season. Scotland Under-21 cap Smith made his Aberdeen debut in 2012 and has scored four times in 89 appearances for the Pittodrie side. "" It's a brilliant acquisition for us,"" boss Jack Ross told St Mirren's official website. "" Cammy is a really good player and someone I didn't think we'd be able to get because he was at Dundee United. "" He's a good, mature boy and I think he'll be a good fit and gives us another option in the attacking area."" Championship bottom side St Mirren host Falkirk on Saturday.","Aberdeen’s 21‐year‐old Scotland Under‑21 international Smith—who made his debut for the Pittodrie side in 2012 and has since scored four goals in 89 appearances—was loaned out in July to United, and he has five goals this season. In a separate move, St Mirren boss Jack Ross praised the club’s acquisition of Cammy, describing him as a mature, talented attacking option they hadn’t expected to sign due to his previous link with Dundee United. St Mirren, who sit at the bottom of the Championship, will host Falkirk on Saturday."
4-4,"Billy Ray Cyrus is an American country music singer , songwriter , actor and philanthropist , who helped make country music a worldwide phenomenon . Excuse My French is the debut studio album by American rapper French Montana . Excuse My French is a 2014 Egyptian film Comedy directed by Amr Salama , based on Salama 's own experiences at a public middle school in Egypt after his return from Saudi Arabia . The film was initially deemed too sensitive by the censorship board and Salama was forced to adjust the script while trying to preserve the film 's core concept of religious discrimination .","The passage highlights three distinct works: Billy Ray Cyrus, noted for his role in making country music globally popular; French Montana’s debut studio album titled ""Excuse My French""; and a 2014 Egyptian comedy film, also called ""Excuse My French,"" directed by Amr Salama. The film, inspired by Salama’s experiences at an Egyptian public middle school after returning from Saudi Arabia, had to undergo script adjustments due to censorship concerns over its treatment of religious discrimination."
7-0,"UKIP, which won May's election, spent £2,956,737, while the Tories' campaign expenditure was £2,980,815,The Lib Dems spent £1,580,575 and lost all but one of their MEPs - Labour, which came second, spent £1,027,339.The figures cover the campaign period from 23 January to polling day, 22 May. UKIP's campaign spending works out at 68p for each of their 4,376,635 votes. For Labour it is 26p per vote, the Conservatives 79p and the Lib Dems, who lost 11 of their 12 MEPs, £1.45. The Green Party, which came fourth, spent £534,249 on its campaign - 43p for each of its 1,255,573 votes. Including the SNP's £267,372, the six highest-spending parties spent a total of £9,347,087 on campaigning, the Electoral Commission said. All but Labour spent more than they did during the 2009 European election campaign.","Between January 23 and May 22, the major parties in the European election spent a total of £9,347,087. UKIP, the winner with 4,376,635 votes, spent £2,956,737 (68p per vote), while the Conservatives spent slightly more at £2,980,815 (79p per vote). Labour, which came second, spent £1,027,339 (26p per vote), and the Lib Dems spent £1,580,575 (about £1.45 per vote), losing all but one of their MEPs. The Green Party spent £534,249 (43p per vote for its 1,255,573 votes), and the SNP spent £267,372. All parties except Labour increased their spending compared to the 2009 European election campaign."
7-1,"The star will play Mrs Potts, the housekeeper magically transformed into a teapot whom Dame Angela Lansbury voiced in the 1991 animated version of the film. Fellow Oscar-winner Kevin Kline has also signed on to play Maurice, the father of the 'Beauty' character Belle. The film will be released in US cinemas on 17 March 2017.It was announced in January that Harry Potter star Emma Watson had been cast as Belle. It was subsequently confirmed that Downton Abbey's Dan Stevens will play the Beast and that Luke Evans will co-star as the villainous Gaston. Josh Gad, who voiced Olaf the snowman in Disney's animated hit Frozen, is also on board as Gaston's sidekick LeFou. Bill Condon, director of Dreamgirls and the last two Twilight films, will direct the movie, which begins filming at Shepperton Studios in May.","A new film adaptation is set for US release on March 17, 2017. The casting includes an unnamed star portraying Mrs. Potts—the teapot-transformed housekeeper originally voiced by Angela Lansbury—as well as Kevin Kline as Maurice, Belle’s father. Emma Watson has been cast as Belle, Dan Stevens will play the Beast, Luke Evans takes on the role of the villainous Gaston, and Josh Gad appears as Gaston’s sidekick, LeFou. Directed by Bill Condon (of Dreamgirls and the Twilight films), the movie will begin filming at Shepperton Studios in May."
7-2,"Dorothy Ann Willis Richards ( September 1 , 1933 -- September 13 , 2006 ) was an American politician and the 45th Governor of Texas from 1991 to 1995 . A Democrat , she first came to national attention as the state treasurer of Texas , when she delivered the keynote address at the 1988 Democratic National Convention . Richards served as the 45th Governor of Texas from 1991 to 1995 and was defeated for re-election in 1994 by George W. Bush . Richards was the second female governor of Texas , and was frequently noted in the media for her outspoken feminism and her one-liners . Ann Richards ( October 1 , 1935 -- April 1 , 1982 ) was an American jazz singer and the wife of pianist Stan Kenton .","The passage profiles two women named Ann Richards. The first, Dorothy Ann Willis Richards (1933–2006), was an American politician and the 45th Governor of Texas (1991–1995). A Democrat, she gained national attention as state treasurer when she delivered the keynote address at the 1988 Democratic National Convention, became known for her outspoken feminism and memorable one-liners, and lost her 1994 re-election bid to George W. Bush. The second Ann Richards (1935–1982) was an American jazz singer and the wife of pianist Stan Kenton."
7-4,"Centre-back Anderson, 27, has cancelled his Barrow contract by mutual consent to join their National League rivals. The ex-Aldershot and Exeter player, who has also played in Italy, could feature against his old club on 18 February. Striker Keating, 21, was recommended to Gulls boss Kevin Nicholson by ex-Port Vale manager Micky Adams. He has previously had spells with Sligo Rovers, Galway United and Finn Harps, with his move subject to international clearance. ""Myles hasn't played a huge amount of games for a 27-year-old, but he is the stature, the voice, and is the leader-type I've been after."" Nicholson told BBC Radio Devon. ""Ruairi is young, a little bit raw, but incredibly hungry to show what he's about. ""The Gulls are currently four points above the relegation zone, and have won only one of their last six games. Find all the latest football transfers on our dedicated page.","Centre-back Anderson, 27, has mutually terminated his Barrow contract to join National League rivals and may face his former club on 18 February. The player, who previously featured for Aldershot, Exeter, and in Italy, is praised by manager Kevin Nicholson for his leadership qualities (referred to as ""Myles""). Additionally, striker Keating, 21, is joining the club—known as the Gulls—after a recommendation from ex-Port Vale manager Micky Adams; Keating, whose previous clubs include Sligo Rovers, Galway United, and Finn Harps, is awaiting international clearance, and Nicholson describes him as ""young, a little bit raw"" but very eager. The Gulls are currently four points above the relegation zone after winning just one of their last six games."
9-0,"Francis I ( Franz Stefan , François Étienne 8 December 1708 -- 18 August 1765 ) was Holy Roman Emperor and Grand Duke of Tuscany , though his wife effectively executed the real powers of those positions . Francis I ( François Ier ) ( 12 September 1494 -- 31 March 1547 ) was the first King of France from the Angoulême branch of the House of Valois , reigning from 1515 until his death . He was also known as François au Grand Nez ( `` Francis of the Large Nose '' ) , the Grand Colas , and the Roi-Chevalier ( the `` Knight-King '' ) for his personal involvement in the wars against his great rival the Holy Roman Emperor and King of Spain Charles V. When this was unsuccessful , he formed a Franco-Ottoman alliance with the Muslim sultan Suleiman the Magnificent , a controversial move for a Christian king at the time . The Italian war of 1536-1538 was a conflict between King Francis I of France and Charles V , King of Spain and Holy Roman Emperor .","The passage describes two historical figures named Francis I. One, living from 1708 to 1765, served as Holy Roman Emperor and Grand Duke of Tuscany, though real power was held by his wife. The other, living from 1494 to 1547, was the first King of France from the Angoulême branch of the House of Valois. Known by nicknames such as ""Francis of the Large Nose"" and the ""Knight-King,"" he personally led military campaigns against his rival, Charles V (King of Spain and Holy Roman Emperor). After his conflicts proved unsuccessful, he controversially formed a Franco-Ottoman alliance with Sultan Suleiman the Magnificent, with his reign also marked by the Italian war of 1536–1538 against Charles V."
9-1,"a pit crew member was hit by a car on sunday during the inaugural indycar grand prix of louisiana . 
todd phillips , a front-outside tire changer for dayle coyne racing , was injuried when he was struck by the car of francesco dracone , who had come in on lap 25 for tires and fuel . 
dracone spun while exiting his put box , clipping phillips ' leg . 
tire changer todd phillips , a front-outside tire changer for dayle coyne racing , was injuried when he was struck by the car of francesco dracone , who had come in on lap 25 for tires and fuel
phillips was taken to the infield care center for treatment where he has received stitches for a cut on his leg and has been released . 
many cars struggled with traction during the race after rain had fallen for hours leading up to the green flag . 
dracone did not finish the race and wound up 23rd . 
francesco dracone ( 19 ) , of italy , spins out on turn one during the indycar grand prix of louisiana auto race in avondale on sunday","During the inaugural IndyCar Grand Prix of Louisiana, pit crew member Todd Phillips, a front-outside tire changer for Dayle Coyne Racing, was injured when Francesco Dracone’s car struck his leg. Dracone, who had entered the pits on lap 25 for tires and fuel, spun while exiting his pit box, clipping Phillips’ leg. Phillips was treated at the infield care center, received stitches, and was later released. Additionally, many cars struggled with traction due to prolonged rain, and Dracone, 19, finished the race in 23rd place."
9-2,"Tries from Macgraff Leuluai, Ah Van and Chris Bridge gave Widnes a 14-6 half-time lead, with Cas loanee Paddy Flynn responding against his parent club. Flynn scored another early in the second, but Ah Van, Lloyd White (2) and Joe Mellor tries made it 38-12. Despite three Cas tries in four minutes - Larne Patrick, Luke Gale and Flynn's hat-trick score - Widnes held on. The Vikings' victory had looked assured when Mellor took advantage of Castleford indecision on a short kick-off, running straight through to help them to a 26-point lead. But, having lost nine of their previous 10 matches, their defence creaked as they let Patrick, who has just signed a three-year deal to move from Huddersfield after his loan spell, in for a try. Gale and Flynn - on loan at Castleford from the Vikings until the end of the season - made it a nervy finish, but the Tigers suffered their fourth consecutive home league defeat. Widnes moved above Wakefield into seventh, while Castleford remain in sixth, one point above the Vikings. Castleford: Solomona, Monaghan, Crooks, Webster, Flynn, McShane, Gale, Jewitt, Milner, Patrick, Moors, McMeeken, Massey. Replacements: Millington, Springer, Tickle, Cook. Widnes: Hanbury, Thompson, Runciman, Bridge, Ah Van, Mellor,Brown, Cahill, White, Buchanan, Whitley, Dean, Leuluai. Replacements: J. Chapelhow, Manuokafoa, Walker, Heremaia. Referee: J Smith","Widnes secured a hard-fought win over Castleford despite a late surge from the home side. Widnes built a 14–6 lead at halftime with tries from Macgraff Leuluai, Ah Van, and Chris Bridge. In the second half, Castleford’s loanee Paddy Flynn (on loan from Widnes) scored early and later completed a hat‐trick, while Luke Gale and Larne Patrick added further Castleford tries in a four-minute spell. However, additional scores from Widnes—tries from Ah Van, two from Lloyd White and one from Joe Mellor, including a 26‐point spur after a quick kick‐off mistake by Castleford—ensured they held on for a 38–12 win. The result marked Castleford’s fourth consecutive home league defeat, with the standings showing Widnes moving above Wakefield into seventh while Castleford remain in sixth, one point ahead of the Vikings."
9-3,"Clarkson, 30, joined Premiership Well for a second spell in July and could make his St Mirren debut in the Championship against Alloa on Saturday. He scored nine goals at Dundee last season and has featured mainly as a substitute so far this term. ""I'm ready, I've been fit all season and I'm as fit as I've ever been,"" Clarkson told the St Mirren website. ""I've been playing games, playing for the U20s and I like to keep my match fitness up. ""I've been training hard and making sure that when my time came, wherever it may be, that I was ready and match fit and hopefully up to speed with everyone else really. I'm looking forward to getting started. ""Capped twice for Scotland in 2008 and with one international goal to his name, Clarkson has made almost 400 senior appearances at club level. His previous teams include Bristol City, Brentford and Bristol Rovers. St Mirren are eighth in the Championship, seven points clear of bottom side Alloa. ""Obviously the game on Saturday, every game is a big game, and the more games we can win the more confidence we can get from that we can hopefully go on a run of games and push up the table and try to get the club back to where it has been,"" added Clarkson. For all the latest transfers check out our transfer deals page.","30‐year‐old Clarkson rejoined Premiership Well for a second spell in July and is set to potentially make his St Mirren debut in the Championship against Alloa on Saturday. Last season at Dundee, he scored nine goals and, although he has mainly been a substitute this term, he has maintained excellent match fitness through regular play with the U20s and hard training. A former Scotland international with two caps and nearly 400 senior club appearances—having previously played for Bristol City, Brentford, and Bristol Rovers—Clarkson is eager to help boost a St Mirren side that currently sits eighth in the Championship, seven points clear of bottom‐placed Alloa."
9-4,"bolton-born boxer amir khan spent his friday alongside some fellow natural born fighters as he enjoyed a family trip to a safari park in northern california . 
khan posed alongside , and also fed , a rare but dangerous white tiger as well posing with stunning giraffes and sea lions at six flags discovery kingdom . 
the 28-year-old was joined by his wife faryal makhdoom khan as well as his daughter lamysa as they all enjoyed some time off . 
bolton-born boxer amir khan enjoyed a day a safari park with his family in northern california
khan and his wife and daughter pose with a giraffe as they enjoy a family day at the adventure park
khan feeds a rare white tiger during his time at the american adventure park in california
earlier this week khan ended speculation over his next opponent by announcing he will fight former light-welterweight world champion chris algieri on may 30 . 
khan had come under increasing pressure to take on british rival and ibf welterweight champion kell brook in june . 
however , khan , who was also linked with bouts against adrien broner and keith thurman , said he was already deep in negotiations to fight somebody else . 
khan ( left ) has announced his next fight will be against chris algieri at welterweight on may 30","Bolton-born boxer Amir Khan, 28, spent his Friday with his wife, Faryal Makhdoom Khan, and his daughter, Lamysa, enjoying a family day at Six Flags Discovery Kingdom in Northern California. There, he fed a rare white tiger and posed with giraffes and sea lions. Later, he ended speculation about his next fight by confirming he will face former light-welterweight world champion Chris Algieri at welterweight on May 30, despite earlier rumors linking him to bouts against Kell Brook, Adrien Broner, and Keith Thurman."
